Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Total_Income,LoanAmount,Loan_Amount_Term,Loan_Status
1,0,0.0,0,0,1.0,2,5849.0,146.41216216216216,360.0,1
1,1,1.0,0,0,1.0,0,6091.0,128.0,360.0,0
1,1,0.0,0,1,1.0,2,3000.0000000000005,66.0,360.0,1
1,1,0.0,1,0,1.0,2,4941.0,120.0,360.0,1
1,0,0.0,0,0,1.0,2,6000.0,141.0,360.0,1
1,1,2.0,0,1,1.0,2,9613.0,267.0,360.0,1
1,1,0.0,1,0,1.0,2,3849.0,95.0,360.0,1
1,1,3.0,0,0,0.0,1,5540.0,158.0,360.0,0
1,1,2.0,0,0,1.0,2,5532.0,168.0,360.0,1
1,1,2.0,0,0,1.0,2,3900.0,70.0,360.0,1
1,1,2.0,0,0,1.0,2,4340.0,109.0,360.0,1
1,1,2.0,0,0,1.0,2,11179.0,200.0,360.0,1
1,0,0.0,0,0,1.0,0,4693.0,114.0,360.0,0
1,0,0.0,0,0,1.0,2,4950.0,125.0,360.0,1
1,0,1.0,1,0,1.0,2,3596.0,100.0,240.0,1
0,0,0.0,0,0,0.0,2,3510.0,76.0,360.0,0
1,1,0.0,1,0,1.0,0,4887.0,133.0,360.0,0
1,1,0.0,0,0,1.0,2,6100.0,115.0,360.0,1
1,1,0.0,1,0,0.0,2,7660.0,104.0,360.0,0
1,1,1.0,0,0,1.0,2,11580.0,315.0,360.0,1
1,1,0.0,1,0,0.0,1,4511.0,116.0,360.0,0
1,1,2.0,1,0,0.0,0,5282.0,112.0,360.0,0
1,1,1.0,0,0,1.0,1,6642.0,151.0,360.0,0
1,1,0.0,0,1,1.0,1,9560.0,191.0,360.0,1
1,1,0.0,0,0,1.0,1,5052.0,122.0,360.0,1
1,1,2.0,1,0,1.0,2,5266.0,110.0,360.0,1
1,0,0.0,1,0,1.0,2,1442.0,35.0,360.0,0
0,0,2.0,0,0,1.0,1,5833.0,120.0,360.0,1
1,1,1.0,0,0,1.0,2,7535.0,201.0,360.0,0
1,0,0.0,0,0,1.0,2,3167.0,74.0,360.0,0
1,0,1.0,0,1,1.0,0,4692.0,106.0,360.0,0
1,1,0.0,0,0,1.0,1,5167.0,114.0,360.0,1
1,0,3.0,0,0,1.0,0,15500.0,320.0,360.0,0
1,1,0.0,0,0,1.0,2,4342.0,146.41216216216216,360.0,1
1,1,0.0,0,0,0.0,2,3158.0000000000005,100.0,360.0,0
0,1,0.0,0,0,1.0,1,5126.0,144.0,360.0,1
1,0,0.0,0,0,1.0,2,11376.0,184.0,360.0,1
1,0,0.0,1,0,1.0,1,5416.0,110.0,360.0,1
1,0,0.0,0,0,1.0,2,3599.9999999999995,80.0,360.0,0
1,0,0.0,0,0,1.0,2,3012.9999999999995,47.0,360.0,1
1,1,0.0,0,0,1.0,2,2400.0,75.0,360.0,1
1,1,0.0,0,0,1.0,1,6277.0,134.0,360.0,1
1,1,0.0,1,1,1.0,2,4695.0,96.0,360.0,1
0,0,0.0,0,0,1.0,2,3409.9999999999995,88.0,360.0,1
1,1,1.0,0,0,1.0,2,5649.0,44.0,360.0,1
1,1,0.0,0,0,1.0,2,5821.0,144.0,360.0,1
0,1,0.0,0,0,0.0,2,6085.0,120.0,360.0,0
0,0,0.0,0,0,1.0,1,6275.0,144.0,360.0,1
0,1,0.0,1,0,1.0,1,3572.0000000000005,100.0,360.0,1
0,0,0.0,0,0,1.0,1,3086.0,120.0,360.0,1
0,0,0.0,0,0,1.0,1,4230.0,112.0,360.0,0
1,1,2.0,0,0,1.0,2,4616.0,134.0,360.0,0
0,1,1.0,0,1,0.0,2,11500.0,286.0,360.0,0
1,1,2.0,0,0,1.0,1,3875.0,97.0,360.0,1
1,1,0.0,0,0,1.0,1,3723.0,96.0,360.0,1
1,1,0.0,0,0,1.0,0,5566.0,135.0,360.0,0
1,1,1.0,0,0,1.0,2,10330.0,180.0,360.0,1
1,1,2.0,1,0,1.0,2,6216.0,144.0,360.0,1
1,1,0.0,0,0,1.0,2,6296.0,120.0,360.0,1
1,1,3.0,0,0,1.0,2,3028.9999999999995,99.0,360.0,1
1,1,1.0,0,0,0.0,0,4945.0,146.41216216216216,360.0,0
0,0,0.0,0,0,0.0,1,4166.0,116.0,360.0,0
1,1,0.0,0,0,1.0,1,10321.0,258.0,360.0,0
1,1,1.0,0,0,1.0,2,10750.0,312.0,360.0,1
0,0,0.0,0,0,0.0,1,4300.0,136.0,360.0,0
1,1,0.0,0,0,1.0,2,6274.0,172.0,360.0,1
1,1,2.0,1,1,1.0,1,3750.0,97.0,360.0,1
1,0,0.0,0,0,1.0,1,3500.0,81.0,300.0,1
1,1,3.0,1,0,0.0,1,4755.0,95.0,360.0,0
1,1,3.0,0,1,1.0,1,7040.0,187.0,360.0,1
1,0,0.0,0,0,1.0,2,3750.0,113.0,480.0,0
1,0,0.0,0,0,1.0,2,8500.0,176.0,360.0,0
1,1,1.0,0,1,1.0,2,4022.0,110.0,360.0,0
1,1,3.0,0,0,0.0,1,7167.0,180.0,300.0,0
1,1,3.0,1,1,1.0,1,5499.0,130.0,360.0,1
0,0,0.0,0,0,1.0,1,3846.0,111.0,360.0,1
1,1,1.0,0,1,1.0,1,2395.0,146.41216216216216,360.0,1
0,1,2.0,0,0,1.0,2,3259.0,167.0,360.0,0
1,1,0.0,0,0,1.0,1,8250.0,265.0,360.0,0
1,1,1.0,0,0,1.0,2,3988.0,50.0,240.0,1
1,0,0.0,0,0,1.0,1,4897.0,136.0,360.0,1
1,1,2.0,1,0,1.0,1,5333.0,99.0,360.0,1
1,1,0.0,0,0,1.0,1,4618.0,104.0,360.0,1
1,0,0.0,0,0,1.0,2,8566.0,210.0,360.0,1
1,1,0.0,0,0,1.0,1,9862.0,175.0,360.0,1
1,1,0.0,0,0,1.0,1,5858.0,131.0,360.0,1
1,1,2.0,1,0,1.0,2,5093.0,81.0,360.0,1
1,0,0.0,0,0,1.0,1,4133.0,122.0,360.0,1
1,0,0.0,0,0,1.0,2,6782.0,146.41216216216216,360.0,0
0,1,0.0,0,0,1.0,1,4786.0,137.0,360.0,1
1,1,0.0,0,0,1.0,1,2974.0,50.0,360.0,1
1,1,0.0,0,0,1.0,1,5300.0,131.0,360.0,1
1,0,0.0,0,0,1.0,1,8649.0,151.0,360.0,1
1,1,0.0,0,0,1.0,2,13650.0,146.41216216216216,360.0,1
1,1,0.0,0,0,1.0,1,8235.0,146.41216216216216,360.0,1
1,1,0.0,0,0,1.0,2,4570.0,160.0,360.0,1
1,1,1.0,0,0,1.0,2,4082.0,100.0,360.0,1
1,1,2.0,0,0,1.0,2,12543.0,225.0,360.0,1
1,0,0.0,1,0,1.0,0,7333.0,120.0,360.0,0
1,1,2.0,0,0,0.0,2,7400.0,216.0,360.0,0
1,1,3.0,1,0,1.0,1,2825.0,94.0,480.0,1
1,0,0.0,0,0,1.0,2,5316.0,136.0,360.0,1
0,1,0.0,0,0,1.0,1,5262.0,139.0,360.0,1
1,1,0.0,1,0,0.0,0,7686.0,152.0,360.0,0
0,0,1.0,0,1,1.0,1,7451.0,146.41216216216216,360.0,1
1,0,0.0,0,0,1.0,1,5050.0,118.0,360.0,1
0,1,0.0,0,0,1.0,1,5450.0,154.0,360.0,1
1,1,1.0,0,0,1.0,2,3612.0,85.0,360.0,1
1,1,0.0,0,0,1.0,0,7710.0,175.0,360.0,0
0,0,0.0,0,0,1.0,2,10408.0,259.0,360.0,1
1,1,0.0,0,0,1.0,0,8334.0,180.0,360.0,1
0,0,0.0,0,0,1.0,1,4166.0,44.0,360.0,1
0,0,0.0,0,0,0.0,1,11117.0,137.0,360.0,1
1,1,2.0,0,0,1.0,1,2957.0,81.0,360.0,1
1,1,0.0,1,0,1.0,0,6314.0,194.0,360.0,1
0,0,0.0,0,0,1.0,0,3692.0,93.0,360.0,1
1,0,0.0,0,0,1.0,0,5505.0,146.41216216216216,360.0,1
1,1,0.0,0,0,1.0,0,8649.0,182.0,360.0,0
1,0,0.0,0,0,1.0,2,3943.0,74.0,360.0,1
1,0,0.0,0,0,1.0,1,2718.0,70.0,360.0,1
1,0,0.0,0,0,1.0,1,4895.0,102.0,360.0,1
1,1,3.0,0,0,1.0,1,11750.0,290.0,360.0,0
0,1,0.0,0,0,1.0,0,4583.0,84.0,360.0,0
1,1,2.0,0,1,1.0,2,6816.0,88.0,360.0,1
